timestamp,currency,amount,deposited,withdrawn,transferIn,transferOut,pendingCredit,pendingDebit,confirmedDebit
2026-07-23T12:56:05.357Z,XBt,0,177199051,9951625171,2984800,600000,0,0,0
2026-07-23T10:00:39.900Z,USDt,5043156,0,0,1551389869,665000000,0,0,0
2026-07-23T09:07:47.913Z,BMEx,120000,0,0,19851120000,1505000000,0,0,0
2025-11-25T09:26:39.328Z,ADa,0,0,0,0,0,0,0,0
2025-11-25T09:26:35.879Z,BNb,0,0,0,0,0,0,0,0
2025-11-25T09:25:19.588Z,s,0,0,0,0,0,0,0,0
2025-11-25T09:25:15.882Z,ATOm,0,0,0,0,0,0,0,0
2025-11-25T09:25:04.934Z,LTc,0,0,0,0,0,0,0,0
2025-11-25T09:24:33.788Z,AVAx,0,0,0,0,0,0,0,0
2025-11-25T09:24:32.216Z,LOt,0,0,0,0,0,0,0,0
2025-11-25T09:24:03.095Z,POl,0,0,0,0,0,0,0,0
2025-11-25T09:23:29.114Z,BCh,0,0,0,0,0,0,0,0
2025-11-25T09:23:24.734Z,XRp,0,0,0,0,0,0,0,0
2025-11-25T09:22:55.592Z,NEAr,0,0,0,0,0,0,0,0
2025-11-25T09:22:52.847Z,DOGe,0,0,0,0,0,0,0,0
