round_id,symbol,direction,open_time,close_time,open_price,close_price,max_position,open_trades_count,close_trades_count,pnl_xbt,holding_duration,is_closed,pnl_from_wallet
1,AAVEUSDT,Long,2021-07-27 21:27:02.794000+00:00,2021-08-08 12:02:19.381000+00:00,302.52213579716374,375.19,2327,20,18,,11 days 14:35:16.587000,True,6.655145
2,AAVEUSDT,Long,2021-09-14 08:44:58.876000+00:00,2021-09-15 03:29:41.431000+00:00,338.16207063711914,396.6,1444,6,1,,0 days 18:44:42.555000,True,-0.005445
3,AAVEUSDT,Long,2021-09-20 00:21:44.103000+00:00,2021-10-11 10:45:59.958000+00:00,284.4585128598848,294.20216391554703,9677,184,72,,21 days 10:24:15.855000,True,19.042852000000003
4,AAVEUSDT,Long,2021-10-12 03:10:17.029000+00:00,2021-10-15 01:13:42.012000+00:00,279.41,298.80986498649867,1111,1,3,,2 days 22:03:24.983000,True,-0.06706699999999999
5,AAVEUSDT,Long,2021-10-15 08:51:00.999000+00:00,,322.61311903920875,389.85714285714283,7439,80,17,,1737 days 13:20:14.558000,False,26.124040999999995
6,ADAM20,Long,2020-05-02 14:26:45.069000+00:00,2020-05-04 14:09:50.806000+00:00,5.67141868640816e-06,5.48142650846779e-06,1828163,30,34,,1 days 23:43:05.737000,True,-32.638394000000005
7,ADAM20,Short,2020-05-31 13:01:36.259000+00:00,2020-05-31 15:01:01.490000+00:00,8.78e-06,8.31e-06,-200000,4,7,,0 days 01:59:25.231000,True,0.0
8,ADAM20,Short,2020-05-31 15:10:39.575000+00:00,2020-06-02 15:39:18.579000+00:00,8.576369710467706e-06,8.064543429844097e-06,-404100,47,13,,2 days 00:28:39.004000,True,15.682322000000001
9,ADAM20,Short,2020-06-02 20:17:24.716000+00:00,2020-06-04 01:22:36.382000+00:00,8.445373832687989e-06,9.33969884396019e-06,-1037199,22,11,,1 days 05:05:11.666000,True,14.187625
10,ADAM20,Short,2020-06-06 11:43:44.224000+00:00,2020-06-08 22:08:19.166000+00:00,8.991250000000001e-06,8.878083875e-06,-400000,19,17,,2 days 10:24:34.942000,True,-0.19969199999999998
11,ADAM20,Short,2020-06-09 18:05:06.914000+00:00,2020-06-11 17:51:37.047000+00:00,8.650022805017105e-06,8.224582354618016e-06,-350800,11,11,,1 days 23:46:30.133000,True,1.874
12,ADAM20,Long,2020-06-11 23:36:19.102000+00:00,2020-06-12 05:33:23.328000+00:00,8.03e-06,8.23e-06,50000,1,1,,0 days 05:57:04.226000,True,0.0
13,ADAM20,Short,2020-06-12 06:38:44.125000+00:00,2020-06-15 03:22:00.980000+00:00,8.493333333333332e-06,8.071111111111112e-06,-450000,20,17,,2 days 20:43:16.855000,True,14.648944
14,ADAM20,Long,2020-06-15 03:22:42.164000+00:00,2020-06-15 20:21:57.411000+00:00,7.86e-06,8.37e-06,50000,1,1,,0 days 16:59:15.247000,True,18.035101
15,ADAM20,Short,2020-06-15 20:21:57.411000+00:00,2020-06-15 21:01:34.838000+00:00,8.37e-06,8.4e-06,-50000,1,1,,0 days 00:39:37.427000,True,0.0
16,ADAM20,Short,2020-06-18 07:54:28.713000+00:00,2020-06-22 06:27:13.773000+00:00,8.70974943587815e-06,8.45e-06,-170176,63,1,,3 days 22:32:45.060000,True,0.040471
17,ADAM20,Short,2020-06-24 02:13:03.605000+00:00,2020-06-24 06:19:12.538000+00:00,8.787866796711717e-06,8.93e-06,-172248,26,8,,0 days 04:06:08.933000,True,0.0
18,ADAUSD,Long,2021-10-26 05:00:42.074000+00:00,2021-11-19 17:00:25.402000+00:00,2.102586043863194,1.9686842937894582,15000,112,249,,24 days 11:59:43.328000,True,-46.128501
19,ADAUSD,Short,2021-11-19 17:00:25.402000+00:00,2021-11-20 11:47:48.728000+00:00,1.9017611066773077,1.9387263646141435,-14876,120,20,,0 days 18:47:23.326000,True,0.0
20,ADAUSDT,Long,2021-08-09 18:47:45.807000+00:00,2021-08-10 16:43:22.467000+00:00,1.4999981249999998,1.5447727573529413,544,52,100,,0 days 21:55:36.660000,True,-1.200549
21,ALTMEXUSD,Long,2021-07-23 04:23:53.756000+00:00,2021-07-26 18:51:07.117000+00:00,92.0513596491228,103.40934409888358,10032,34,4,,3 days 14:27:13.361000,True,-0.078947
22,ALTMEXUSD,Long,2021-07-27 21:25:17.935000+00:00,2021-07-30 21:00:09.605000+00:00,98.37677328316086,105.40999999999998,2126,7,6,,2 days 23:34:51.670000,True,-0.01848
23,AXSUSDT,Short,2021-08-11 07:20:56.717000+00:00,2021-08-20 00:32:50.152000+00:00,77.82266881028939,74.19944694533761,-1244,21,6,,8 days 17:11:53.435000,True,1.804096
24,AXSUSDT,Short,2021-08-21 09:08:12.908000+00:00,2021-09-07 14:48:25.942000+00:00,88.94117647058823,73.63040567037626,-2997,44,26,,17 days 05:40:13.034000,True,18.729954000000003
25,AXSUSDT,Short,2021-10-01 15:02:56.097000+00:00,2021-10-02 23:31:18.544000+00:00,110.58265909005381,110.12584345011855,-24473,276,253,,1 days 08:28:22.447000,True,-4.799275
26,AXSUSDT,Short,2021-10-03 15:37:31.899000+00:00,2021-10-05 19:43:29.260000+00:00,134.80961501063507,132.7450902461258,-4472,76,117,,2 days 04:05:57.361000,True,-11.471281999999999
27,AXSUSDT,Short,2021-10-29 13:20:26.105000+00:00,2021-10-29 16:16:08.976000+00:00,149.5,155.1315165165165,-666,4,8,,0 days 02:55:42.871000,True,0.0
28,BCHH21,Long,2021-01-20 00:52:39.433000+00:00,2021-01-25 23:30:53.932000+00:00,0.013810000000000001,0.013242190476190477,105,32,12,,5 days 22:38:14.499000,True,-0.021973
29,BCHH21,Long,2021-02-01 11:38:40.077000+00:00,2021-02-06 01:40:29.754000+00:00,0.0122275,0.01185945,400,31,26,,4 days 14:01:49.677000,True,-9.572167
30,BCHUSD,Long,2020-09-13 01:17:39.200000+00:00,2020-09-13 13:06:21.423000+00:00,232.53636363636363,223.4690909090909,2200,4,4,,0 days 11:48:42.223000,True,-0.055811
31,BCHUSD,Long,2020-10-22 13:48:26.384000+00:00,2020-10-26 15:42:20.126000+00:00,271.5145475848514,263.20291783203567,10229,28,13,,4 days 01:53:53.742000,True,-2.1180879999999997
32,BCHUSD,Long,2020-10-26 15:43:06.172000+00:00,2020-10-28 11:37:16.607000+00:00,257.7037076188239,268.34295278365045,12771,6,10,,1 days 19:54:10.435000,True,-9.909458
33,BCHUSD,Long,2020-11-02 14:08:58.210000+00:00,2020-11-04 11:06:01.270000+00:00,243.5021739130435,231.55565217391305,23000,8,16,,1 days 20:57:03.060000,True,0.077302
34,BCHUSD,Long,2021-02-01 05:45:04.345000+00:00,2021-02-02 16:14:06.512000+00:00,411.5056385006353,424.3273558146864,6296,27,8,,1 days 10:29:02.167000,True,-1.146063
35,BCHUSD,Short,2021-02-02 16:14:06.512000+00:00,2021-02-02 16:14:13.307000+00:00,424.3,425.25,-370,2,1,,0 days 00:00:06.795000,True,0.0
36,BMEXUSD,Long,2022-11-16 01:22:48.452000+00:00,2022-11-17 21:38:15.837000+00:00,0.6043333333333333,0.7625,3000,4,2,,1 days 20:15:27.385000,True,-0.016738
37,BMEXUSD,Long,2022-11-21 10:19:38.164000+00:00,2022-11-28 21:05:09.635000+00:00,0.43309892371995823,0.45118599791013586,50400,41,67,,7 days 10:45:31.471000,True,0.42813
38,BMEX_USDT,Short,2022-11-12 04:36:03.138000+00:00,2022-11-15 01:34:36.321000+00:00,1.0317778382793357,0.7726537339926461,-7346000000,35,22,,2 days 20:58:33.183000,True,0.0
